('magic', 1902.8265235771394)	('kingdom', 1888.1045949260786)	('dragon', 1870.1474128243308)	('village', 1749.662406562325)	('sword', 1641.326759270156)	('castle', 1634.8298763008436)	('prince', 1607.1060116990484)	('forest', 1602.5562814545935)	('king', 1583.766259327425)	('royal', 1541.3091537963621)	('knight', 1493.5701256237796)	('horse', 1388.489863883136)	('tree', 1355.6875642164475)	('creature', 1350.2507077307735)	('land', 1349.3148644945109)	('cloak', 1341.9586667806172)	('throne', 1332.13609694086)	('wing', 1328.0699979528551)	('scale', 1319.5290978987002)	('town', 1314.5156177378522)	('wood', 1309.5458044382763)	
('timeline', 122.83185149800212)	('unconscious', 121.99390377855038)	('successor', 116.36989731233334)	('symbol', 108.3220080440884)	('civilian', 105.35837144511169)	('future', 105.07914804898691)	('measure', 104.3861707295807)	('decade', 103.92204921522719)	('costume', 103.61632918473207)	('version', 103.51376288259638)	('determination', 102.92323585499508)	('defeat', 102.90590764188399)	('ache', 102.90590764188399)	('useless', 101.89263554231195)	('resemblance', 101.22591287770578)	('younger', 101.0723305574661)	('vague', 101.00099267866595)	('deny', 100.28417852537982)	('concrete', 99.16246704196756)	('ash', 98.27263976846959)	('distinct', 97.79120300803262)	
('petal', 181.9464475126709)	('hanahaki', 179.58342185990847)	('disease', 149.8284544069846)	('surgery', 123.65850544349252)	('flower', 119.27551918982402)	('coughing', 113.83782639505165)	('cough', 111.03005824519062)	('unrequited', 86.22514767706402)	('coughed', 79.32997363357406)	('toilet', 78.98520242956481)	('lung', 73.68272297580947)	('cure', 72.86203026560865)	('suffocate', 67.81861921042028)	('hacking', 63.671917399361845)	('die', 57.93976484762761)	('choking', 56.438895886724694)	('breathe', 56.144921625355565)	('illness', 55.2620422318571)	('dying', 55.151591274362524)	('bloom', 55.04555885814056)	('suffer', 52.733389856069266)	
('angel', 117.8350206951907)	('wing', 91.49542783391277)	('demon', 76.24618986159399)	('feather', 69.93015122932961)	('heaven', 66.64409020350408)	('seraph', 63.58990763850888)	('guardian', 59.834760698464116)	('earth', 54.66794629533601)	('angelic', 54.66794629533601)	('human', 53.75278407684165)	('soul', 49.698132995760005)	('horn', 47.14214161981064)	('specie', 47.004803657924164)	('grasp', 45.56001018316904)	('creature', 44.3614195558365)	('pure', 43.94449154672439)	('pale', 43.66827237527655)	('gold', 43.35557636844247)	('golden', 43.32880321763536)	('peaceful', 42.49820016084324)	('freckle', 42.49820016084324)	
('gryffindor', 411.5618068236568)	('hufflepuff', 348.85156394638074)	('hogwarts', 330.06070137075676)	('slytherin', 325.6352704239455)	('quidditch', 317.9152952829299)	('ravenclaw', 315.7586956117893)	('muggle', 289.47257433848614)	('gryffindors', 283.4906085061852)	('wizard', 253.10397881105985)	('wand', 251.76201208208275)	('slytherins', 238.12512949199765)	('potion', 235.499858822524)	('robe', 212.10434917423672)	('squib', 194.77967282907184)	('herbology', 193.7092449592767)	('transfiguration', 183.72087420997082)	('professor', 177.01701265498872)	('spell', 169.9424300189354)	('wizarding', 160.68350705100963)	('cauldron', 160.43068146403024)	('hufflepuffs', 156.01301587406743)	
('tattoo', 191.8205944668592)	('tattooing', 163.91496713068798)	('tattooed', 149.0668731993414)	('ink', 148.27132785360143)	('artist', 129.8792970028192)	('parlor', 127.77913477956977)	('customer', 124.43718215212947)	('piercings', 120.25524705831013)	('inking', 116.1164863505305)	('bouquet', 114.25567802148342)	('shop', 113.4794651734561)	('client', 111.93342036195517)	('needle', 108.76261657814285)	('inked', 106.15083731128352)	('carnation', 105.89980299278902)	('sketchbook', 104.44619628057085)	('sketch', 92.54110419254933)	('flower', 91.94154604215602)	('stencil', 87.43612300294971)	('design', 84.71050998855854)	('stool', 84.26191786098187)	
('song', 71.25454789961198)	('musician', 68.68164847359385)	('musical', 66.90772890356142)	('music', 62.16979751083924)	('piano', 61.79667248438274)	('guitar', 61.1722699345383)	('instrument', 57.754466334374115)	('singer', 54.51409763361387)	('sing', 54.163768689663364)	('melody', 53.3118150778838)	('violin', 52.137122475457296)	('chord', 49.97624260497004)	('sang', 49.77233815435824)	('performance', 48.951105860530724)	('singing', 46.650863142452856)	('artist', 46.086202162290675)	('audience', 45.8426868200101)	('stage', 44.1665846874966)	('performing', 43.82026634673881)	('lyric', 41.356078651211305)	('perform', 39.70291913552122)	
('country', 35.94878728264789)	('society', 34.68446109475397)	('street', 34.04342991533304)	('wood', 32.30378644724401)	('rid', 31.6686879553831)	('law', 31.354942159291497)	('glove', 31.16534678461838)	('punching', 30.91042453358316)	('age', 30.459910976876934)	('illegal', 30.273517071346088)	('war', 29.957322735539908)	('system', 29.818879797456006)	('city', 29.1886522358297)	('spotted', 29.029630625767844)	('official', 28.969882423813804)	('basic', 28.903717578961647)	('pile', 28.774743273580448)	('injured', 28.774743273580448)	('gray', 28.60248447313151)	('tree', 28.563919505370855)	('destroyed', 28.33213344056216)	
('roommate', 73.94458566410191)	('coffee', 37.42994775023704)	('university', 37.28821253752379)	('rent', 35.63477837002806)	('blanket', 35.02638268299564)	('fridge', 34.00146698694148)	('music', 32.23619130191664)	('saturday', 31.780538303479457)	('pillow', 31.191623125197538)	('sip', 30.779392289538443)	('jean', 30.498475944637594)	('tv', 29.933606208922598)	('swear', 29.933606208922598)	('restaurant', 29.32286884219334)	('reply', 28.969882423813804)	('apartment', 28.66815150764888)	('chocolate', 28.219447943362347)	('sprawled', 28.210884196929293)	('gay', 27.400701939510807)	('wake', 27.360444511379704)	('kitchen', 27.360444511379704)	
('goddess', 155.9435755631655)	('olympus', 144.32190843665222)	('nymph', 139.7101236164203)	('mortal', 129.1760715913517)	('hades', 110.44388379453748)	('underworld', 103.5697306177483)	('demigod', 99.16044067076639)	('poseidon', 97.09809050397605)	('throne', 96.4045859628254)	('zeus', 94.36727103448712)	('golden', 83.94955623416851)	('ambrosia', 82.42648973748359)	('demeter', 78.49882172150188)	('bow', 76.53266255884249)	('river', 75.2538977075783)	('ruler', 74.85648880168104)	('godsi', 74.08826789033361)	('grace', 73.42665879079608)	('sunlight', 73.06853850536216)	('chariot', 72.36339342754344)	('gold', 72.25929394740412)	
('officer', 88.98550724974248)	('cop', 81.29522122906572)	('police', 74.85989550047408)	('detective', 72.75172319452771)	('crime', 63.58817867371562)	('badge', 60.90208578280592)	('report', 59.577104424248624)	('suspect', 58.91751034759535)	('file', 58.72980661380801)	('evidence', 57.93976484762761)	('partner', 57.564627324851145)	('drive', 57.15285294512401)	('investigation', 56.602717749683706)	('station', 54.66794629533601)	('dirty', 54.66794629533601)	('office', 51.986038541995896)	('gun', 51.75688144129819)	('computer', 51.75688144129819)	('precinct', 51.687028690285345)	('captain', 50.63409246211329)	('jacket', 50.53616527873305)	
('pokemon', 110.26857492329965)	('pokeball', 96.07861078271961)	('trainer', 93.05895619906731)	('pokeballs', 77.10205194432532)	('pokemons', 71.89077686477118)	('pokmon', 55.63876416044969)	('battling', 50.4346422653763)	('evolution', 50.38579763098537)	('eevee', 48.69491820726796)	('riolu', 48.17268697492288)	('pokmons', 45.63751046833589)	('pidgey', 45.63751046833589)	('gengar', 43.610456511945486)	('espeon', 43.610456511945486)	('berry', 41.97619257728389)	('journey', 41.20784645382176)	('center', 40.7642196375723)	('badge', 40.60139052187061)	('fur', 40.40754995983769)	('potion', 40.085082352770044)	('paw', 40.013447756990246)	
('wing', 60.99695188927519)	('feather', 55.944120983463684)	('flightless', 47.92718457651412)	('fly', 47.213226345972004)	('soulmates', 35.350724862372786)	('mate', 34.657359027997266)	('preen', 33.31566347995401)	('toshinori', 32.95836866004329)	('flight', 30.905884840366316)	('abruptly', 29.788552212124312)	('wingless', 29.51103563291149)	('mentor', 29.32286884219334)	('respond', 29.1121815835177)	('soulmate', 28.88994069531564)	('alex', 28.58393787085755)	('ridiculousshoto', 28.24571544884713)	('toshinoris', 27.819382080224845)	('speed', 27.032740041837865)	('patented', 26.569947205469024)	('flapped', 26.155543084272935)	('accepting', 26.064772304171857)	
('pirate', 116.44872633407081)	('crew', 88.55773719617329)	('deck', 87.13417653379183)	('ship', 81.72822626032315)	('captain', 80.17064639834604)	('aboard', 70.53282938135567)	('sail', 67.86462572601822)	('port', 67.14221766100569)	('dock', 66.61153173224237)	('boat', 58.65516638836995)	('docked', 52.42006309627672)	('mast', 52.11770152698024)	('ocean', 49.98306765262806)	('cannon', 49.34473933130691)	('starboard', 49.267268170758136)	('plank', 49.09789003821932)	('sea', 48.16462684895568)	('board', 48.16462684895568)	('shore', 47.49236924889941)	('rope', 46.650863142452856)	('island', 45.918259968852006)	
('dancer', 100.71160145753157)	('ballet', 97.02056333900173)	('studio', 81.51872938181943)	('choreography', 79.83435635224016)	('dancing', 79.32997363357406)	('dance', 77.63248422271387)	('performance', 73.42665879079608)	('song', 71.25454789961198)	('music', 69.07755278982138)	('hiphop', 53.17122942402977)	('sensual', 51.0594547390058)	('pirouette', 50.39774841983821)	('audience', 49.36904734462626)	('style', 48.74490361983978)	('danced', 48.520302639196174)	('routine', 46.24594812633863)	('practice', 46.16908843430766)	('audition', 45.47742493130104)	('practicing', 45.13440138832275)	('stage', 44.1665846874966)	('talent', 43.96273975355575)	
('mermaid', 245.96694641300354)	('merman', 218.27293565712966)	('ocean', 189.9356570799866)	('swim', 186.52646199874567)	('shore', 181.33450076852503)	('fin', 179.61997699867433)	('sand', 175.09938315929665)	('swam', 174.26835306758366)	('webbed', 170.77746079165354)	('swimming', 169.8210592371866)	('scale', 166.16292343909558)	('tail', 156.54911893664402)	('sea', 152.99352057903567)	('underwater', 151.30392679612888)	('fisherman', 150.70768140179558)	('fish', 149.18159944844774)	('coral', 147.6144664427107)	('gill', 142.1178820714516)	('boat', 134.0689517448456)	('mer', 131.93765695636102)	('seaweed', 131.1102021879858)	
('planet', 86.9273618087914)	('lab', 76.13933051941696)	('wire', 68.1154134105287)	('pilot', 67.0019557053804)	('system', 62.12266624470001)	('earth', 62.12266624470001)	('technology', 62.03143518380639)	('scientist', 60.62470822345687)	('headquarters', 58.951858628832625)	('patient', 58.888779583328805)	('repair', 58.65516638836995)	('receive', 58.64573768438668)	('programmed', 58.4354441703136)	('government', 57.099937346554796)	('sector', 57.03782474656201)	('machine', 56.66426688112432)	('test', 56.431394322604085)	('specie', 56.405764389509)	('crew', 56.354923670292095)	('within', 56.33032693519351)	('heel', 55.2620422318571)	
('agent', 49.12498930520042)	('mission', 33.34434164699998)	('gun', 30.44522437723423)	('target', 29.788552212124312)	('headquarters', 29.475929314416312)	('weapon', 28.214442932076903)	('goon', 27.382317759657553)	('bullet', 26.65763608140163)	('surveillance', 25.407021824922317)	('criminal', 24.356179501787384)	('men', 24.169470350698415)	('tech', 24.14156868651151)	('bos', 23.965858188431927)	('flicking', 23.80838167163509)	('trained', 23.751515966537326)	('killing', 23.751515966537326)	('access', 23.070858062030304)	('operation', 22.97184837893457)	('knocked', 22.873856958478193)	('illegal', 22.705137803509565)	('code', 22.705137803509565)	
('emf', 54.05815139093606)	('hunter', 40.79339543837931)	('paranormal', 34.44286229782682)	('flashlight', 33.394792371259655)	('faint', 31.17263854637882)	('ghost', 30.44522437723423)	('evp', 30.325156990526963)	('entity', 29.942595520672416)	('slotshe', 29.46211077317162)	('summoning', 28.969882423813807)	('darker', 28.219447943362347)	('demon', 27.725887222397812)	('creature', 27.725887222397812)	('haunted', 27.658706030069993)	('ripped', 27.333973147668004)	('goggles', 27.098407076355237)	('abandoned', 26.499950812497964)	('footstep', 26.376848000782076)	('spirit', 26.01334582106548)	('ash', 26.01334582106548)	('elsethe', 25.880748662869145)	
('stripper', 123.01205536892559)	('dancer', 119.89476363991854)	('pole', 114.17104842936016)	('club', 108.39173440546088)	('neon', 86.66982208594692)	('dance', 85.95025038943322)	('stage', 79.49985243749389)	('audience', 77.57993154155555)	('bouncer', 74.5752971810663)	('dancing', 73.66354694546162)	('strip', 72.78045395879425)	('platform', 72.13199733418448)	('bill', 71.015722747384)	('sultry', 70.14889411734758)	('music', 69.07755278982138)	('ab', 68.51992481586575)	('grinding', 68.42002729845113)	('arched', 67.00084996770707)	('sweaty', 64.77765754166168)	('stripping', 64.18954470138802)	('jean', 63.76954061151497)	
('concert', 52.19425341199575)	('idol', 48.58970503768379)	('debut', 47.49236924889941)	('debuted', 46.97694231580333)	('producer', 44.41945452580018)	('performance', 41.958090737597765)	('lyric', 41.356078651211305)	('stage', 41.22214570833016)	('singing', 39.986454122102444)	('sing', 39.72009703908647)	('backstage', 39.058108781903556)	('song', 36.94680261461362)	('music', 36.841361487904734)	('debuting', 35.99839172845586)	('fan', 34.788693097032)	('sang', 34.45777256840186)	('album', 33.68529048760692)	('perform', 31.762335308416976)	('audience', 31.737244721545455)	('dance', 30.498475944637594)	('studio', 30.033216088038735)	
('coach', 66.05825674479802)	('player', 54.76832207599404)	('athlete', 52.69564729982184)	('baseball', 49.12498930520042)	('team', 43.74911676688687)	('coaching', 39.20273302760006)	('season', 38.501476017100586)	('practice', 38.47424036192305)	('football', 38.451430103383835)	('olympic', 38.12622024478411)	('sport', 37.42994775023704)	('bench', 34.68446109475397)	('winning', 33.32204510175204)	('teammate', 32.88699091338649)	('skill', 32.30378644724401)	('net', 32.16583895094213)	('track', 31.191623125197538)	('boxing', 30.884966860880716)	('win', 30.761144082707073)	('strategy', 30.305662469878268)	('competition', 30.305662469878268)	
('lord', 39.108828676383546)	('hakama', 37.111868504934115)	('jnihitoe', 36.510008374668715)	('emperor', 35.94878728264789)	('commoner', 35.94878728264789)	('servant', 34.64586672229065)	('bow', 34.30774528499836)	('courtyard', 33.395098159165094)	('kitsune', 32.712359802534024)	('lacquered', 32.35399751891301)	('imperial', 32.26024477218613)	('carriage', 32.08264518430481)	('among', 30.779392289538443)	('tatami', 30.743783876419553)	('samurai', 30.720928170628227)	('wooden', 30.498475944637594)	('royalty', 30.375570198161803)	('wood', 29.818879797456006)	('quarter', 29.51103563291149)	('inkstone', 29.46211077317162)	('winter', 29.32286884219334)	
('vigilante', 44.852911882962914)	('alleyway', 30.305662469878268)	('crime', 28.903717578961647)	('vigilantism', 28.568664027546845)	('occasional', 26.064772304171857)	('whispering', 26.01334582106548)	('arrested', 25.046323619373823)	('police', 24.953298500158027)	('encounter', 24.72833962686653)	('regretting', 24.5660673733326)	('alley', 24.356179501787384)	('outwards', 24.220935432292954)	('exposed', 23.751515966537326)	('street', 23.292873099964716)	('siren', 23.227206065447348)	('society', 23.122974063169316)	('softened', 23.070858062030304)	('incident', 23.02585092994046)	('darkness', 23.02585092994046)	('collect', 22.806675766150374)	('illegal', 22.705137803509565)	
('neighbor', 46.219524799362375)	('furniture', 35.8351893845611)	('cheap', 34.965075614664805)	('neighbour', 33.68529048760692)	('pajama', 31.46856805319832)	('laterthe', 30.884966860880716)	('driveway', 30.884966860880716)	('tooth', 30.22241679475417)	('welcoming', 30.0896009255485)	('slam', 29.029630625767844)	('routine', 28.903717578961647)	('suspiciously', 28.442784491915308)	('yawn', 28.219447943362347)	('bang', 28.214442932076903)	('brand', 28.210884196929293)	('cereal', 27.749836879705626)	('owner', 27.400701939510807)	('jogging', 27.242742086774385)	('kart', 27.212088552608968)	('sugar', 27.209579053297244)	('hometown', 26.922475313945444)	
('firebender', 89.91980698634575)	('firebending', 89.62900661905482)	('earthbender', 86.62213037688991)	('bender', 82.51517534268919)	('avatar', 80.31201216470869)	('airbender', 78.80341352776802)	('waterbending', 78.74739125171811)	('waterbender', 78.74739125171811)	('earthbending', 76.51595573857601)	('firebenders', 63.902912768685496)	('airbending', 63.58990763850888)	('nonbender', 57.8379128110746)	('nation', 55.9612691293448)	('tribe', 54.38079308923196)	('waterbenders', 49.57535383806395)	('northern', 49.43755299006494)	('bending', 48.951105860530724)	('firebend', 47.076192414745215)	('element', 46.454412130894696)	('nomad', 46.08382456536562)	('airbenders', 42.171231352976555)	
('yakuza', 59.73655805174967)	('tattoo', 34.101439016330524)	('oyabun', 33.99530213623221)	('blade', 30.498475944637594)	('gun', 30.44522437723423)	('knife', 29.818879797456006)	('tattooed', 28.66670638448873)	('subordinate', 27.23368685833155)	('leader', 26.961590461985917)	('polished', 26.6559075389419)	('aligned', 25.67899218525131)	('muzzle', 25.312975165134834)	('city', 25.296831937719073)	('bodyguard', 25.28122902674154)	('eerily', 24.953298500158027)	('cushion', 24.68452367231313)	('hitting', 24.169470350698415)	('rage', 23.978952727983707)	('bos', 23.965858188431927)	('slam', 23.751515966537326)	('scar', 23.350921788663758)	
('ghost', 60.89044875446846)	('emf', 45.04845949244672)	('paranormal', 41.33143475739218)	('flashlight', 38.16547699572532)	('abandoned', 35.33326774999728)	('ghostly', 35.21306544974705)	('spirit', 34.68446109475397)	('dust', 33.34434164699998)	('died', 33.27106466687737)	('shadow', 33.08047253394032)	('floating', 32.49660241322652)	('fade', 31.79408933685781)	('hunter', 31.728196452072794)	('haunting', 31.341357701347448)	('faint', 31.17263854637882)	('splinter', 30.26055070151548)	('glowing', 29.788552212124312)	('eerily', 29.1121815835177)	('summoning', 28.969882423813807)	('furniture', 28.66815150764888)	('location', 28.33213344056216)	
('mafia', 55.41263545158426)	('bos', 29.957322735539908)	('gang', 29.708576533634464)	('leader', 23.965858188431927)	('drug', 23.80838167163509)	('cobblestone', 23.280331721409446)	('money', 22.873856958478193)	('lock', 22.873856958478193)	('feathery', 22.76143781729624)	('wrongbbut', 22.41402306184729)	('whispersprying', 22.41402306184729)	('whimpersfeeling', 22.41402306184729)	('violentlywhatever', 22.41402306184729)	('thiaccidentally', 22.41402306184729)	('templehissing', 22.41402306184729)	('suspenderskatsuki', 22.41402306184729)	('sumhe', 22.41402306184729)	('streetsnighttime', 22.41402306184729)	('stockhis', 22.41402306184729)	('spaceagain', 22.41402306184729)	('soldizuku', 22.41402306184729)	
('marriage', 47.6263013996854)	('married', 39.5787916904045)	('marry', 35.8351893845611)	('wedding', 29.708576533634464)	('engagement', 29.065122518751547)	('wife', 28.219447943362347)	('wouldntit', 26.427348774375822)	('bride', 25.67899218525131)	('hermomo', 25.354376312812732)	('wasmomo', 25.302738811785936)	('marrying', 24.337672252277912)	('husbandtobe', 23.96359228825706)	('engaged', 23.933904279385647)	('bowed', 23.751515966537326)	('dress', 23.08454421715383)	('choose', 23.08454421715383)	('husband', 22.66570675244973)	('maid', 22.66299746576628)	('tobemarried', 22.41402306184729)	('spousetobe', 22.41402306184729)	('sideconcentrate', 22.41402306184729)	
('gun', 39.5787916904045)	('file', 37.09250944029979)	('assassin', 35.52621670663679)	('politician', 35.48101803382962)	('allergen', 34.88836520955639)	('popping', 34.490436375220646)	('reflection', 32.58096538021482)	('target', 32.49660241322652)	('victor', 32.251670446104995)	('amusing', 31.454605061794606)	('bodyhe', 30.525578011394302)	('guild', 30.260445844622087)	('slashed', 30.103679020889544)	('hacker', 30.092966072481172)	('reveal', 29.788552212124312)	('sunshine', 28.66815150764888)	('finethen', 28.65578673737019)	('loudlythe', 28.517190195717493)	('mindhe', 27.92376210094514)	('including', 27.725887222397812)	('newest', 27.52277942907028)	
('bartender', 45.74710978503383)	('bar', 29.933606208922598)	('customer', 28.442784491915308)	('alcohol', 26.65763608140163)	('cocktail', 26.313450944524426)	('flirting', 23.10088561026035)	('flirt', 22.09420303898299)	('stool', 21.981369876777876)	('drink', 21.50111363073666)	('ordering', 21.383330595080277)	('creative', 20.948273710132128)	('dragging', 20.723265836946414)	('drinkthe', 20.256811128425227)	('order', 19.313254949209202)	('beer', 19.143206982445477)	('concert', 18.979728513453)	('booth', 18.806000578467813)	('counter', 18.71497387511852)	('sipping', 18.56786033352154)	('waiter', 18.499891253137083)	('barstool', 18.280709310135407)	
('superhero', 22.154083994216567)	('brick', 20.407184289972932)	('causedwhat', 20.216771327017977)	('crumbled', 20.21525633917275)	('earth', 19.879253198304003)	('cop', 19.356005054539455)	('shoot', 19.183162182386965)	('swung', 18.95635140771547)	('recoiled', 18.615841400630092)	('leather', 18.546254720149896)	('emergency', 18.546254720149896)	('blur', 17.66663387499864)	('identity', 17.63180262308081)	('extend', 17.477791409868086)	('kageyamas', 17.444182604778195)	('operated', 17.19029934892072)	('prior', 17.16993602242573)	('bordered', 17.141198416528105)	('rift', 17.040517827051204)	('hood', 16.83647914993237)	('developed', 16.83647914993237)	
('soldier', 37.842233574518694)	('lieutenant', 31.073040492110955)	('platoon', 30.84082077773013)	('colonel', 30.722549710243744)	('troop', 29.740174945903227)	('military', 28.257181207874005)	('commanding', 27.386089148807017)	('barrack', 26.693191871070617)	('saluting', 25.84587270541487)	('sergeant', 25.290260959709137)	('statementno', 24.949634153788196)	('reported', 24.46522466343432)	('wellkaminari', 22.708235377352135)	('porous', 22.554192543699234)	('bunk', 22.539158412676997)	('yefimovna', 22.41402306184729)	('wouldveyoure', 22.41402306184729)	('womanskirishima', 22.41402306184729)	('womanmoreau', 22.41402306184729)	('withwar', 22.41402306184729)	('windpipelike', 22.41402306184729)	
